图书排名,图书名称,图书作者,图书出版时间,图书出版社,图书价格
1,蛤蟆先生去看心理医生（年销200万册！英国经典心理咨询入门书，知...,罗伯特・戴博德,2020-07-01,天津人民出版社,26.0
2,少年读史记（套装全5册）,张嘉骅,2015-09-01,青岛出版社,50.0
3,活着（余华代表作，精装，易烊千玺推荐阅读。当当专享印签藏书票...,余华,2021-10-01,北京十月文艺出版社,26.5
4,次第花开 修订版,希阿荣博堪布,2017-02-01,海南出版社,18.9
5,遥远的救世主（天道原著王志文主演电视剧畅销遥远的救世主作者豆...,豆豆,2018-10-09,作家出版社,24.0
6,你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推...,塔拉,2019-11-01,南海出版公司,34.8
7,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎,岸��一郎,2020-03-05,机械工业出版社,37.9
8,杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球...,哈珀・李,2017-02-01,译林出版社,48.0
9,马尔克斯：百年孤独（50周年纪念版）,加西亚・马尔克斯,2017-08-01,南海出版公司,39.6
10,平凡的世界：全三册（全新2021版，茅盾文学奖获奖作品，激励青年...,路遥,2021-06-01,北京十月文艺出版社,98.0
11,三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,刘慈欣,2010-11-01,重庆出版社,46.5
12,人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，...,麦家,2019-04-16,北京十月文艺出版社,27.5
13,东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,东野圭吾,2017-08-09,南海出版公司,44.7
14,少年读山海经（地理+神话+怪兽+奇闻+古文，套装 全3册 ）,刘兴诗,2021-10-01,青岛出版社,50.0
15,窗边的小豆豆(2018版),黑柳彻子,2018-05-01,南海出版公司,31.2
16,神奇校车・图画书版（全12册，新增科学博览会1册）,乔安娜柯尔,2018-05-10,贵州人民出版社,99.0
17,红楼梦原著版（上、下册，全两册，全本120回）（团购电话:400-10...,曹雪芹,2013-01-01,人民文学出版社,34.0
18,文城（余华新书，时隔8年重磅归来，《活着》之后又一精彩力作）,余华,2021-03-03,北京十月文艺出版社,44.2
19,时间从来不语，却回答了所有问题（文学大师季羡林百岁人生的智慧...,季羡林,2021-11-01,百花洲文艺出版社,27.5
20,世界尽头的咖啡馆（做决定前读一遍，少走弯路！美国57所高校指定...,约翰・史崔勒基,2019-05-01,天津人民出版社,29.9
21,神奇校车・桥梁书版（全20册）,乔安娜柯尔,2014-04-01,贵州人民出版社,75.0
22,走遍中国 图说天下 寻梦之旅,霍晨昕,2019-02-01,四川人民出版社,22.1
23,底层逻辑：看清这个世界的底牌,刘润,2021-10-01,机械工业出版社,51.7
24,正面管教(修订版),简・尼尔森,2016-07-01,北京联合出版公司,17.1
25,消失的13级台阶（罗翔推荐！荣获日本推理小说至高荣誉江户川乱步...,高野和明,2020-04-29,上海文艺出版社,21.0
26,东野圭吾：我的老师是侦探,东野圭吾,2019-08-01,南海出版公司,19.75
27,时代广场的蟋蟀：麦克米伦世纪大奖小说最新升级版,乔治・塞尔登,2020-11-01,二十一世纪出版社,11.2
28,简爱（英国女作家夏洛蒂・勃朗特的长篇小说，翻译家宋兆霖未删节...,夏洛蒂勃朗特,2015-08-01,作家出版社,14.0
29,红岩,罗广斌,2017-09-01,中国青年出版社,27.0
30,夏洛的网(2020版）（三年级阅读经典书目）,怀特,2014-08-01,上海译文出版社,30.3
31,东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文...,东野圭吾,2020-09-01,南海出版公司,44.2
32,乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫・勒庞代表作...,古斯塔夫・勒庞,2018-04-06,民主与建设出版社,12.2
33,中华人民共和国民法典（64开便携版 压纹烫金版）2020年6月新版,法律出版社,2020-06-01,法律出版社,6.3
34,万物由来科学绘本 写给孩子的科普绘本,项华,2020-08-01,北京联合出版有限公司,35.7
35,小巴掌童话注音版8册百篇张秋生著 小学生课外读本,张秋生,2018-04-18,山东科学技术出版社,31.0
36,小熊和最好的爸爸（全7册）,阿兰德・丹姆,2007-11-01,贵州人民出版社,17.5
37,亲密关系：通往灵魂的桥梁（新版）：杨天真推荐，这本书告诉我们...,克里斯多福・孟,2019-04-01,湖南文艺出版社,20.3
38,小猪唏哩呼噜(注音版上下),孙幼军,2021-11-01,春风文艺出版社,23.6
39,小王子（纪念版，李继宏口碑译作，作者基金会官方认证简体中文版...,安托万・德・圣埃克苏佩里,2018-06-03,天津人民出版社,19.9
40,狼王梦（升级版）/动物小说大王沈石溪・品藏书系,沈石溪,2018-07-01,浙江少年儿童出版社,13.0
41,面纱（毛姆关于女性精神觉醒的经典作品，三次改编成电影。2018全...,毛姆,2019-01-01,时代文艺出版社,10.5
42,置身事内：中国政府与经济发展（罗永浩、罗振宇、何帆、刘格菘、...,兰小欢,2021-08-01,上海人民出版社,32.5
43,沟通的方法（别怕，沟通是场无限游戏。得到CEO脱不花为你备好的沟...,脱不花,2021-06-11,新星出版社,49.0
44,我有友情要出租（拼音版）,方素珍,2017-05-01,新疆青少年出版社,13.2
46,傅雷家书,傅雷,2021-01-01,万卷出版公司,15.0
47,心灵教科书绘本系列：西兰花先生的理发店（教会孩子：敢于打破常...,福田纯子,2021-01-01,海豚出版社,29.9
48,苏菲的世界（平装新版）八年级阅读乔斯坦贾德哲学入门书作家出版...,乔斯坦・贾德,2017-09-19,作家出版社,28.5
49,作家榜经典：月亮与六便士（全新未删节插图珍藏版！毛姆写给年轻...,毛姆,2017-01-10,浙江文艺出版社,19.9
50,流浪的地球（《三体》作者刘慈欣绚丽想象力之作，大人孩子均可阅...,刘慈欣,2018-05-01,浙江教育出版社,14.2
51,云边有个小卖部（陆定昊诚挚推荐，随书附赠云边镇四季明信片和张...,张嘉佳,2018-07-01,湖南文艺出版社,21.2
52,苏东坡传（林语堂纪念典藏精装版）,林语堂,2018-01-01,湖南文艺出版社,23.4
53,人类群星闪耀时（无删减全译本。《一个陌生女人的来信》作者茨威...,斯蒂芬・茨威格,2018-01-15,时代文艺出版社,13.7
54,阿Q正传（收录鲁迅《阿Q正传》《狂人日记》《药》等17个中短篇小...,鲁迅,2014-12-01,北京联合出版公司,9.4
55,儒林外史(56回全本，内容考证、文字句读全新修订版),吴敬梓,2015-07-01,花山文艺出版社,11.8
56,青铜葵花正版曹文轩纯美小说7-8-9-10-12岁草房子系列儿童文学校园...,曹文轩,2016-04-01,江苏少年儿童出版社,10.9
57,边城（沈从文代表作）,沈从文,2019-04-01,中国友谊出版公司,15.7
59,月光落在左手上（精装珍藏版）,余秀华,2020-09-01,北京十月文艺出版社,29.0
61,小狗钱钱（附赠免费亲子财商课+理财秘籍思维导图）,博多・舍费尔,2021-01-20,中信出版社,19.9
62,青铜葵花（当当网定制版）,曹文轩,2015-03-01,天天出版社有限责任公司,12.5
63,如果历史是一群喵9・五代十国篇,肥志,2021-10-01,广东旅游出版社,44.8
64,华夏万卷 楷书入门6件套 楷书字帖田英章书钢笔字帖成人学生硬笔书...,田英章,2018-12-01,上海交通大学出版社,29.7
